Real,Probabilidad,Prediccion
1,0.6256342966282077,1
0,0.27327400883231046,0
0,0.09591149017145713,0
0,0.10003865331955827,0
0,0.13512799450064392,0
0,0.08735145322950061,0
0,0.12030472518222225,0
1,0.19281695305609692,0
0,0.2376379013277943,0
0,0.04121828637290821,0
0,0.11004324195930776,0
0,0.09459939386943585,0
1,0.36685529881363865,0
0,0.04372862064747175,0
0,0.1554336122508472,0
1,0.4765859404675883,0
0,0.16631393706165182,0
1,0.22436827536995085,0
1,0.20785096870033742,0
0,0.07640460780058135,0
0,0.08311198727925416,0
0,0.051158050503067445,0
0,0.14763030034916416,0
0,0.04086026496140199,0
0,0.17326956671872348,0
0,0.07857954810229575,0
0,0.19257088976544767,0
0,0.5970804244202226,1
0,0.11891306759593387,0
0,0.05603719396475571,0
0,0.04533590199649249,0
0,0.1109871036310473,0
0,0.1399773224638854,0
0,0.2139698587891365,0
0,0.42036266169930875,0
0,0.0771444420553544,0
1,0.08983372429213064,0
1,0.12064724068356994,0
0,0.3928636833087422,0
0,0.0838316854963884,0
0,0.051445147176103906,0
0,0.10802803167538091,0
0,0.23026940526458817,0
0,0.1597631413571345,0
0,0.143142236237668,0
0,0.08786000643583806,0
0,0.10929527239262361,0
0,0.06787463835416783,0
0,0.06902980143529079,0
0,0.09050919484205008,0
0,0.1507366595413832,0
0,0.2101618411567545,0
0,0.055759886564817715,0
0,0.07880266655698231,0
0,0.056423312082693806,0
0,0.028503976745937024,0
0,0.0817727598440872,0
0,0.033103683698553626,0
0,0.23044548051928299,0
0,0.1279093199681422,0
0,0.0878150340096562,0
0,0.15194371167091808,0
0,0.33998847998229814,0
0,0.028014539720251717,0
0,0.1334859054593032,0
0,0.4300835540552903,0
0,0.10221765876538166,0
0,0.25860851951920233,0
0,0.09670480010783195,0
1,0.051828879304701723,0
0,0.3094681306776314,0
0,0.06118644660309629,0
0,0.14925999018913438,0
0,0.05537192316620108,0
0,0.09339541774155989,0
0,0.1707179084956638,0
0,0.10715613278812001,0
0,0.06630367422458616,0
0,0.08294832589281255,0
0,0.09468442784410287,0
0,0.11053406922425951,0
0,0.16736537673524202,0
1,0.6941669668826604,1
0,0.0265881198503184,0
0,0.04938687326907134,0
0,0.10351410642559493,0
0,0.028881198821971567,0
0,0.05790836144487485,0
0,0.059392014421841215,0
0,0.4156989556096436,0
0,0.07320018410035695,0
0,0.10004182788070631,0
0,0.45908532336651753,0
0,0.21865971267700865,0
0,0.0404603673230046,0
0,0.242708473258029,0
0,0.04189413880117012,0
0,0.2669262787223847,0
0,0.06635009837435138,0
0,0.11373921317180626,0
0,0.05575568044046526,0
0,0.06100805079590931,0
1,0.06255287398075245,0
0,0.07791527137019287,0
0,0.28578036200141027,0
0,0.3407637001334831,0
1,0.23780379667603826,0
0,0.17832840180447315,0
